order_id,product_id,price,quantity
1,520,407.06,5
1,859,428.63,4
1,411,234.92,2
1,75,456.38,3
1,60,190.59,1
2,499,373.91,5
3,390,482.29,1
3,673,213.68,4
4,610,339.33,3
4,610,432.57,5
4,690,124.87,1
5,821,7.73,5
5,558,339.05,2
5,557,471.83,5
5,551,141.53,5
5,874,319.03,4
6,538,115.23,1
6,238,299.12,4
6,126,371.57,5
6,816,53.14,2
7,830,384.48,3
7,705,393.39,3
7,365,51.79,2
7,851,190.19,1
7,268,43.34,5
8,60,324.98,3
8,880,391.55,1
8,702,135.14,2
8,898,485.77,4
9,142,191.55,4
9,422,318.36,3
9,120,188.01,1
9,264,191.06,5
10,575,112.1,4
10,531,459.91,3
10,634,308.97,5
10,26,344.83,5
10,290,311.68,2
11,240,285.19,2
11,945,446.38,4
11,742,221.33,3
11,912,313.03,3
12,334,261.61,4
13,284,93.76,2
14,530,344.64,4
14,973,159.32,1
14,628,279.47,5
14,652,62.31,1
14,484,197.45,3
15,447,209.03,2
15,214,86.94,2
15,213,482.0,2
15,996,287.0,1
15,164,48.42,1
16,208,237.89,3
16,385,376.53,1
16,328,135.77,1
16,619,213.79,1
17,384,367.43,1
18,762,324.78,2
18,676,49.89,2
18,587,471.18,2
18,318,367.9,2
18,768,448.89,5
19,750,365.5,1
19,242,379.26,1
20,123,499.95,5
20,906,54.51,4
20,5,56.48,2
20,312,470.58,5
20,249,327.12,5
21,300,165.18,4
21,405,453.74,1
22,308,279.69,4
22,928,21.16,4
23,394,218.81,2
23,827,88.71,3
24,271,168.09,5
24,754,166.37,4
24,977,273.71,3
24,800,164.51,5
25,321,325.02,1
25,413,425.23,5
26,788,251.53,4
26,370,364.69,3
27,286,367.13,5
27,561,351.2,1
28,460,186.63,3
28,604,374.45,2
29,580,130.28,3
29,992,209.41,2
29,816,206.44,4
29,873,185.22,3
30,872,143.19,5
30,20,329.78,4
31,776,90.05,1
31,701,5.91,4
31,241,404.49,2
31,617,278.55,1
32,653,243.8,3
32,59,221.0,5
32,566,38.28,3
32,187,57.11,1
33,981,492.43,5
34,172,231.3,2
34,629,260.22,3
35,352,378.78,2
35,452,14.11,1
35,808,115.75,5
36,493,496.39,2
36,757,413.62,1
36,626,246.4,2
36,853,54.6,1
36,309,179.12,3
37,879,417.34,3
37,288,366.27,3
37,319,374.14,2
37,742,351.65,1
37,958,24.75,4
38,535,209.62,5
39,875,178.74,1
39,231,11.72,4
40,491,44.86,1
40,330,114.26,3
40,802,162.4,4
40,165,349.91,2
41,451,293.67,1
41,61,442.15,2
41,493,418.7,5
41,524,246.39,3
41,821,319.41,2
42,970,200.12,1
42,7,264.01,3
42,517,50.17,3
43,326,43.95,4
43,152,336.9,1
43,288,65.53,4
44,578,159.04,1
45,71,331.88,1
46,68,271.96,3
46,982,363.81,4
47,856,202.15,5
47,869,326.68,2
48,39,239.13,3
48,641,231.08,4
48,563,44.45,1
48,73,227.43,5
48,637,24.18,5
49,818,256.95,4
49,945,141.64,4
49,941,446.49,5
50,128,344.26,1
50,319,210.94,4
50,415,393.44,1
50,821,292.21,4
51,637,94.39,4
51,170,183.17,5
51,933,297.91,4
51,516,301.37,4
51,478,379.19,1
52,856,419.71,3
52,306,84.1,1
52,50,182.92,1
52,226,246.4,1
53,121,21.5,5
53,758,152.26,5
53,937,99.43,5
54,498,109.38,4
54,274,244.8,2
55,765,190.72,2
55,206,421.66,1
55,807,273.22,1
55,194,249.15,1
56,566,345.04,3
56,211,42.4,2
56,557,344.32,4
56,473,133.77,3
56,907,453.51,1
57,874,431.52,4
57,176,179.84,3
57,550,440.85,4
57,820,317.5,3
58,410,426.85,3
58,738,260.83,3
58,556,24.64,3
58,312,202.96,4
58,140,261.07,5
59,532,395.56,2
59,764,66.14,2
60,108,91.47,1
60,127,109.95,5
60,16,220.85,2
60,578,205.83,4
60,36,156.15,3
61,283,29.99,5
61,56,210.08,1
61,534,328.11,3
61,635,377.03,3
62,93,76.6,2
62,315,199.4,2
62,335,218.5,5
63,487,381.49,2
64,706,127.73,2
65,450,129.33,2
65,626,29.18,3
65,807,61.9,5
65,704,498.23,2
66,789,428.77,2
66,421,357.02,2
66,475,171.69,5
67,211,44.44,1
67,676,226.56,4
67,781,116.76,5
67,884,497.32,2
68,857,176.9,2
68,316,374.99,2
69,735,242.87,4
69,264,336.28,3
70,147,97.42,3
70,479,450.69,2
71,898,88.6,5
72,191,75.13,2
72,682,246.69,5
72,561,144.45,3
73,167,421.47,3
74,866,110.08,1
75,280,175.03,1
75,504,115.3,2
75,560,49.9,5
76,16,275.03,3
76,327,79.73,3
76,479,351.88,4
76,237,369.4,1
77,653,334.48,4
77,27,7.14,5
77,146,462.41,3
78,656,170.41,5
78,678,458.67,1
78,909,381.32,3
78,218,285.52,1
79,446,12.64,3
79,46,32.14,3
79,577,42.05,3
80,969,365.62,5
81,133,233.35,4
81,122,224.94,2
81,238,191.27,3
82,214,153.15,1
82,31,483.23,4
82,553,210.29,4
83,194,205.38,1
84,299,498.63,2
85,512,181.13,3
85,924,452.79,3
86,562,55.75,3
86,427,39.94,3
86,600,87.84,2
86,630,101.71,4
86,152,207.11,2
87,779,151.27,2
87,311,345.33,5
87,604,493.16,3
88,766,108.89,5
89,541,397.14,3
90,82,139.93,4
90,139,236.07,3
91,250,6.06,3
92,29,332.04,1
92,248,174.96,5
93,198,281.93,4
93,571,177.7,2
93,832,14.41,1
93,361,170.19,4
93,435,223.67,1
94,393,454.34,4
94,865,458.12,5
94,36,257.67,3
95,799,298.54,1
95,590,95.6,5
95,704,287.05,4
96,454,491.4,3
96,777,207.38,3
97,428,457.92,5
97,119,328.59,5
97,592,405.56,1
98,353,416.81,2
99,441,59.93,5
99,247,63.94,4
100,451,331.04,5
101,633,47.61,4
101,603,231.0,4
101,959,37.06,2
102,840,274.56,2
103,214,233.59,2
103,447,187.25,5
103,846,352.44,5
103,177,42.02,4
103,693,218.02,4
104,998,375.57,2
104,476,158.38,1
104,51,124.35,2
105,140,373.41,5
106,196,20.5,4
106,834,241.51,5
107,758,407.78,2
107,792,363.65,4
108,89,456.73,2
109,986,353.44,2
109,155,280.04,3
109,665,404.56,4
109,241,406.07,5
109,382,477.51,3
110,787,265.38,4
110,681,277.72,4
111,863,421.17,1
111,624,472.08,4
111,453,440.02,5
112,259,425.06,1
112,725,134.39,1
112,616,127.27,5
112,214,58.97,5
112,794,301.95,2
113,356,279.56,3
113,364,358.54,2
113,580,47.28,3
113,745,280.12,2
114,142,192.99,4
114,556,477.68,4
114,883,492.95,5
114,509,275.16,5
114,366,230.54,4
115,856,313.12,3
115,730,190.94,3
115,855,241.05,3
116,323,356.42,5
116,548,202.98,4
116,354,223.97,4
116,518,294.25,5
116,206,106.67,2
117,450,264.95,3
118,184,380.71,2
118,175,246.45,1
118,179,454.8,2
118,528,227.1,5
118,258,362.22,4
119,771,46.12,4
119,9,413.53,4
119,523,375.88,2
119,804,308.8,5
120,810,351.95,2
120,37,198.02,4
120,192,356.11,4
121,406,100.88,1
121,53,325.36,5
121,602,190.74,2
122,475,183.58,2
123,497,437.35,5
124,831,445.85,1
124,241,185.52,3
124,580,307.15,5
124,466,428.51,4
125,124,271.95,2
126,962,249.1,4
126,356,440.41,3
126,700,373.46,4
126,766,483.14,1
127,916,254.98,2
127,451,375.07,1
127,904,375.48,1
128,147,359.39,5
128,641,205.4,5
128,990,269.76,4
128,182,127.69,5
128,231,366.47,2
129,589,359.73,4
129,136,392.49,4
130,566,254.53,4
130,35,368.73,3
130,171,360.68,4
131,818,403.66,2
131,7,92.29,5
131,36,53.47,4
132,956,437.17,2
132,912,259.18,2
132,185,214.8,3
132,506,162.36,1
132,744,387.93,5
133,152,156.05,1
133,755,375.87,5
134,662,186.42,2
134,459,213.05,2
134,154,412.76,2
134,488,239.11,4
135,544,89.76,1
135,296,54.78,2
135,334,178.46,2
135,417,424.68,4
135,637,145.47,3
136,393,289.19,3
136,20,48.74,3
136,807,184.46,1
137,594,373.48,3
137,758,312.5,4
137,881,440.84,2
137,418,239.67,5
138,838,83.9,2
138,832,8.13,2
139,496,160.67,1
139,63,327.55,1
139,72,248.26,3
